idx,State,LGA,Postcode
3840,Victoria,Alpine,3678
3841,Victoria,Alpine,3691
3842,Victoria,Alpine,3695
3843,Victoria,Alpine,3697
3844,Victoria,Alpine,3698
3845,Victoria,Alpine,3699
3846,Victoria,Alpine,3701
3847,Victoria,Alpine,3735
3848,Victoria,Alpine,3737
3849,Victoria,Alpine,3739
3850,Victoria,Alpine,3740
3851,Victoria,Alpine,3741
3852,Victoria,Alpine,3744
3853,Victoria,Alpine,3747
3854,Victoria,Alpine,3749
3855,Victoria,Alpine,3858
3856,Victoria,Alpine,3862
3857,Victoria,Alpine,3898
3858,Victoria,Alpine,3900
3859,Victoria,Ararat,3272
3860,Victoria,Ararat,3274
3861,Victoria,Ararat,3293
3862,Victoria,Ararat,3294
3863,Victoria,Ararat,3325
3864,Victoria,Ararat,3351
3865,Victoria,Ararat,3361
3866,Victoria,Ararat,3373
3867,Victoria,Ararat,3374
3868,Victoria,Ararat,3375
3869,Victoria,Ararat,3377
3870,Victoria,Ararat,3378
3871,Victoria,Ararat,3379
3872,Victoria,Ararat,3381
3873,Victoria,Ararat,3384
3874,Victoria,Ararat,3469
3875,Victoria,Ballarat,3334
3876,Victoria,Ballarat,3350
3877,Victoria,Ballarat,3351
3878,Victoria,Ballarat,3352
3879,Victoria,Ballarat,3355
3880,Victoria,Ballarat,3356
3881,Victoria,Ballarat,3357
3882,Victoria,Ballarat,3363
3883,Victoria,Ballarat,3364
3884,Victoria,Ballarat,3370
3885,Victoria,Banyule,3071
3886,Victoria,Banyule,3072
3887,Victoria,Banyule,3073
3888,Victoria,Banyule,3078
3889,Victoria,Banyule,3079
3890,Victoria,Banyule,3081
3891,Victoria,Banyule,3083
3892,Victoria,Banyule,3084
3893,Victoria,Banyule,3085
3894,Victoria,Banyule,3086
3895,Victoria,Banyule,3087
3896,Victoria,Banyule,3088
3897,Victoria,Banyule,3089
3898,Victoria,Banyule,3093
3899,Victoria,Banyule,3094
3900,Victoria,Banyule,3095
3901,Victoria,Banyule,3102
3902,Victoria,Banyule,3104
3903,Victoria,Banyule,3105
3904,Victoria,Banyule,3106
3905,Victoria,Banyule,3107
3906,Victoria,Bass Coast,3922
3907,Victoria,Bass Coast,3923
3908,Victoria,Bass Coast,3925
3909,Victoria,Bass Coast,3945
3910,Victoria,Bass Coast,3951
3911,Victoria,Bass Coast,3956
3912,Victoria,Bass Coast,3979
3913,Victoria,Bass Coast,3984
3914,Victoria,Bass Coast,3987
3915,Victoria,Bass Coast,3991
3916,Victoria,Bass Coast,3992
3917,Victoria,Bass Coast,3995
3918,Victoria,Bass Coast,3996
3919,Victoria,Baw Baw,3723
3920,Victoria,Baw Baw,3783
3921,Victoria,Baw Baw,3797
3922,Victoria,Baw Baw,3799
3923,Victoria,Baw Baw,3815
3924,Victoria,Baw Baw,3816
3925,Victoria,Baw Baw,3818
3926,Victoria,Baw Baw,3820
3927,Victoria,Baw Baw,3821
3928,Victoria,Baw Baw,3822
3929,Victoria,Baw Baw,3823
3930,Victoria,Baw Baw,3824
3931,Victoria,Baw Baw,3825
3932,Victoria,Baw Baw,3831
3933,Victoria,Baw Baw,3832
3934,Victoria,Baw Baw,3833
3935,Victoria,Baw Baw,3835
3936,Victoria,Baw Baw,3840
3937,Victoria,Baw Baw,3844
3938,Victoria,Baw Baw,3854
3939,Victoria,Baw Baw,3856
3940,Victoria,Baw Baw,3858
3941,Victoria,Baw Baw,3871
3942,Victoria,Baw Baw,3950
3943,Victoria,Baw Baw,3953
3944,Victoria,Baw Baw,3981
3945,Victoria,Baw Baw,3988
3946,Victoria,Bayside,3162
3947,Victoria,Bayside,3184
3948,Victoria,Bayside,3185
3949,Victoria,Bayside,3186
3950,Victoria,Bayside,3187
3951,Victoria,Bayside,3188
3952,Victoria,Bayside,3189
3953,Victoria,Bayside,3190
3954,Victoria,Bayside,3191
3955,Victoria,Bayside,3192
3956,Victoria,Bayside,3193
3957,Victoria,Bayside,3194
3958,Victoria,Bayside,3204
3959,Victoria,Benalla,3646
3960,Victoria,Benalla,3666
3961,Victoria,Benalla,3669
3962,Victoria,Benalla,3670
3963,Victoria,Benalla,3672
3964,Victoria,Benalla,3673
3965,Victoria,Benalla,3675
3966,Victoria,Benalla,3678
3967,Victoria,Benalla,3720
3968,Victoria,Benalla,3723
3969,Victoria,Benalla,3725
3970,Victoria,Benalla,3726
3971,Victoria,Benalla,3727
3972,Victoria,Benalla,3728
3973,Victoria,Benalla,3733
3974,Victoria,Boroondara,3067
3975,Victoria,Boroondara,3078
3976,Victoria,Boroondara,3079
3977,Victoria,Boroondara,3101
3978,Victoria,Boroondara,3102
3979,Victoria,Boroondara,3103
3980,Victoria,Boroondara,3104
3981,Victoria,Boroondara,3105
3982,Victoria,Boroondara,3108
3983,Victoria,Boroondara,3121
3984,Victoria,Boroondara,3122
3985,Victoria,Boroondara,3123
3986,Victoria,Boroondara,3124
3987,Victoria,Boroondara,3125
3988,Victoria,Boroondara,3126
3989,Victoria,Boroondara,3127
3990,Victoria,Boroondara,3129
3991,Victoria,Boroondara,3142
3992,Victoria,Boroondara,3144
3993,Victoria,Boroondara,3145
3994,Victoria,Boroondara,3146
3995,Victoria,Boroondara,3147
3996,Victoria,Brimbank,3012
3997,Victoria,Brimbank,3019
3998,Victoria,Brimbank,3020
3999,Victoria,Brimbank,3021
4000,Victoria,Brimbank,3022
4001,Victoria,Brimbank,3023
4002,Victoria,Brimbank,3024
4003,Victoria,Brimbank,3026
4004,Victoria,Brimbank,3029
4005,Victoria,Brimbank,3030
4006,Victoria,Brimbank,3033
4007,Victoria,Brimbank,3034
4008,Victoria,Brimbank,3036
4009,Victoria,Brimbank,3037
4010,Victoria,Brimbank,3038
4011,Victoria,Brimbank,3042
4012,Victoria,Brimbank,3043
4013,Victoria,Brimbank,3045
4014,Victoria,Brimbank,3335
4015,Victoria,Brimbank,3427
4016,Victoria,Brimbank,3428
4017,Victoria,Buloke,3387
4018,Victoria,Buloke,3391
4019,Victoria,Buloke,3392
4020,Victoria,Buloke,3393
4021,Victoria,Buloke,3395
4022,Victoria,Buloke,3478
4023,Victoria,Buloke,3480
4024,Victoria,Buloke,3482
4025,Victoria,Buloke,3483
4026,Victoria,Buloke,3491
4027,Victoria,Buloke,3507
4028,Victoria,Buloke,3518
4029,Victoria,Buloke,3520
4030,Victoria,Buloke,3525
4031,Victoria,Buloke,3527
4032,Victoria,Buloke,3530
4033,Victoria,Buloke,3531
4034,Victoria,Buloke,3533
4035,Victoria,Buloke,3537
4036,Victoria,Buloke,3540
4037,Victoria,Buloke,3542
4038,Victoria,Buloke,3544
4039,Victoria,Buloke,3546
4040,Victoria,Campaspe,2731
4041,Victoria,Campaspe,3523
4042,Victoria,Campaspe,3551
4043,Victoria,Campaspe,3557
4044,Victoria,Campaspe,3558
4045,Victoria,Campaspe,3559
4046,Victoria,Campaspe,3561
4047,Victoria,Campaspe,3562
4048,Victoria,Campaspe,3563
4049,Victoria,Campaspe,3564
4050,Victoria,Campaspe,3566
