,suburb
0,Abbotsford
1,Aberfeldie
2,Airport West
3,Albert Park
4,Albion
7,Alphington
8,Altona
9,Altona East
10,Altona Meadows
11,Altona North
14,Ardeer
15,Armadale
16,Ascot Vale
17,Ashburton
18,Ashwood
19,Aspendale
20,Avondale Heights
23,Balaclava
28,Balwyn
29,Balwyn North
31,Baxter
32,Bayswater
33,Bayswater North
34,Beaconsfield
35,Beaumaris
42,Bentleigh
43,Bentleigh East
44,Berwick
45,Bittern
47,Black Rock
48,Blackburn
49,Blackburn North
50,Blackburn South
51,Bonbeach
52,Boronia
53,Box Hill
54,Box Hill North
55,Box Hill South
56,Braybrook
57,Briar Hill
59,Brighton
60,Brighton East
61,Broadmeadows
62,Brookfield
63,Brooklyn
65,Brunswick
66,Brunswick East
67,Brunswick West
68,Bulleen
69,Bundoora
70,Burnley
71,Burwood
72,Burwood East
73,Cairnlea
74,Camberwell
76,Canterbury
77,Capel Sound
78,Carlton
79,Carlton North
80,Carnegie
81,Caroline Springs
82,Carrum
83,Carrum Downs
85,Caulfield
86,Caulfield East
87,Caulfield North
88,Caulfield South
89,Chadstone
90,Chelsea
91,Chelsea Heights
92,Cheltenham
93,Cheltenham East
94,Cheltenham North
95,Chirnside Park
96,Clarinda
97,Clayton
99,Clayton South
100,Clifton Hill
102,Coburg
104,Coburg North
106,Collingwood
111,Craigieburn
112,Cranbourne
113,Cranbourne North
114,Cranbourne West
115,Cremorne
116,Crib Point
117,Croydon
118,Croydon North
119,Croydon South
120,Dallas
121,Dandenong
122,Dandenong North
124,Deepdene
125,Deer Park
127,Diamond Creek
128,Dingley Village
130,Docklands
131,Doncaster
132,Doncaster East
133,Donvale
134,Doreen
135,Doveton
136,Dromana
140,Eaglemont
144,East Melbourne
146,Edithvale
147,Elsternwick
148,Eltham
149,Elwood
150,Endeavour Hills
151,Epping
152,Essendon
153,Essendon North
154,Eumemmerring
156,Fairfield
157,Fawkner
158,Ferntree Gully
160,Fitzroy
161,Fitzroy North
162,Flemington
164,Footscray
165,Forest Hill
167,Frankston
168,Frankston South
169,Gardenvale
170,Garfield
174,Glen Huntly
175,Glen Iris
176,Glen Waverley
177,Glenroy
180,Gowanbrae
181,Greensborough
183,Hadfield
184,Hallam
187,Hampton
188,Hampton East
189,Hampton Park
191,Hastings
192,Hawthorn
193,Hawthorn East
196,Heathmont
197,Heidelberg
198,Heidelberg Heights
199,Heidelberg West
201,Highett
204,Hoppers Crossing
206,Hughesdale
207,Huntingdale
209,Ivanhoe
210,Ivanhoe East
211,Jacana
213,Junction Village
215,Keilor Downs
216,Keilor East
218,Kensington
219,Kew
221,Keysborough
223,Kilsyth
224,Kingsbury
225,Kingsville
226,Knoxfield
228,Kooyong
235,Lalor
236,Langwarrin
238,Laverton
242,Lilydale
246,Lower Plenty
247,Lyndhurst
248,Macleod
250,Maidstone
251,Malvern
252,Malvern East
255,Maribyrnong
257,Mccrae
259,Meadow Heights
260,Melbourne
262,Melton South
263,Mentone
264,Mernda
265,Middle Park
267,Mill Park
268,Mitcham
270,Mont Albert
271,Mont Albert North
272,Montmorency
273,Moonee Ponds
274,Moorabbin
275,Mooroolbark
277,Mordialloc
278,Mornington
281,Mount Eliza
282,Mount Evelyn
283,Mount Martha
285,Mount Waverley
286,Mulgrave
287,Murrumbeena
289,Narre Warren
292,Newport
294,Niddrie
295,Noble Park
298,North Melbourne
299,Northcote
300,Notting Hill
302,Nunawading
303,Oak Park
304,Oakleigh
305,Oakleigh East
306,Oakleigh South
308,Officer
309,Ormond
311,Pakenham
312,Parkdale
313,Parkville
314,Pascoe Vale
315,Pascoe Vale South
316,Patterson Lakes
318,Point Cook
320,Port Melbourne
323,Prahran
324,Preston
328,Research
329,Reservoir
330,Richmond
332,Ringwood
333,Ringwood East
334,Ringwood North
336,Ripponlea
338,Rosanna
339,Rosebud
341,Rowville
342,Roxburgh Park
343,Rye
344,Safety Beach
347,Sandringham
348,Scoresby
349,Seaford
351,Seddon
354,Skye
355,Somerville
357,South Kingsville
358,South Melbourne
359,South Morang
360,South Yarra
361,Southbank
362,Spotswood
364,Springvale
365,Springvale South
366,St Albans
368,St Kilda
369,St Kilda East
370,St Kilda West
374,Strathmore
376,Sunbury
377,Sunshine
378,Sunshine North
379,Sunshine West
380,Surrey Hills
382,Sydenham
383,Syndal
384,Tarneit
386,Taylors Hill
387,Templestowe
388,Templestowe Lower
389,Thomastown
390,Thornbury
391,Toorak
395,Travancore
396,Truganina
397,Tullamarine
398,Tyabb
