,LGA,suburb
0,Banyule,Thornbury
1,Darebin,Thornbury
2,Moreland,Thornbury
3,Banyule,Northland Centre
4,Banyule,Preston
5,Banyule,Preston Lower
6,Banyule,Preston South
7,Banyule,Preston West
8,Darebin,Northland Centre
9,Darebin,Preston
10,Darebin,Preston Lower
11,Darebin,Preston South
12,Darebin,Preston West
13,Moreland,Northland Centre
14,Moreland,Preston
15,Moreland,Preston Lower
16,Moreland,Preston South
17,Moreland,Preston West
18,Banyule,Keon Park
19,Banyule,Reservoir
20,Banyule,Reservoir East
21,Banyule,Reservoir North
22,Banyule,Reservoir South
23,Darebin,Keon Park
24,Darebin,Reservoir
25,Darebin,Reservoir East
26,Darebin,Reservoir North
27,Darebin,Reservoir South
28,Moreland,Keon Park
29,Moreland,Reservoir
30,Moreland,Reservoir East
31,Moreland,Reservoir North
32,Moreland,Reservoir South
33,Whittlesea,Keon Park
34,Whittlesea,Reservoir
35,Whittlesea,Reservoir East
36,Whittlesea,Reservoir North
37,Whittlesea,Reservoir South
38,Banyule,Alphington
39,Banyule,Fairfield
40,Boroondara,Alphington
41,Boroondara,Fairfield
42,Darebin,Alphington
43,Darebin,Fairfield
44,Yarra,Alphington
45,Yarra,Fairfield
46,Banyule,Ivanhoe
47,Banyule,Ivanhoe East
48,Banyule,Ivanhoe North
49,Boroondara,Ivanhoe
50,Boroondara,Ivanhoe East
51,Boroondara,Ivanhoe North
52,Darebin,Ivanhoe
53,Darebin,Ivanhoe East
54,Darebin,Ivanhoe North
55,Manningham,Ivanhoe
56,Manningham,Ivanhoe East
57,Manningham,Ivanhoe North
58,Yarra,Ivanhoe
59,Yarra,Ivanhoe East
60,Yarra,Ivanhoe North
61,Banyule,Bellfield
62,Banyule,Heidelberg Heights
63,Banyule,Heidelberg West
64,Darebin,Bellfield
65,Darebin,Heidelberg Heights
66,Darebin,Heidelberg West
67,Banyule,Bundoora
68,Banyule,Kingsbury
69,Banyule,La Trobe University
70,Darebin,Bundoora
71,Darebin,Kingsbury
72,Darebin,La Trobe University
73,Nillumbik,Bundoora
74,Nillumbik,Kingsbury
75,Nillumbik,La Trobe University
76,Whittlesea,Bundoora
77,Whittlesea,Kingsbury
78,Whittlesea,La Trobe University
79,Banyule,Banyule
80,Banyule,Eaglemont
81,Banyule,Heidelberg
82,Banyule,Rosanna
83,Banyule,Viewbank
84,Manningham,Banyule
85,Manningham,Eaglemont
86,Manningham,Heidelberg
87,Manningham,Rosanna
88,Manningham,Viewbank
89,Banyule,Macleod
90,Banyule,Macleod West
91,Banyule,Yallambie
92,Darebin,Macleod
93,Darebin,Macleod West
94,Darebin,Yallambie
95,Banyule,Watsonia
96,Banyule,Watsonia North
97,Darebin,Watsonia
98,Darebin,Watsonia North
99,Nillumbik,Watsonia
100,Nillumbik,Watsonia North
101,Banyule,Briar Hill
102,Banyule,Greensborough
103,Banyule,Saint Helena
104,Nillumbik,Briar Hill
105,Nillumbik,Greensborough
106,Nillumbik,Saint Helena
107,Whittlesea,Briar Hill
108,Whittlesea,Greensborough
109,Whittlesea,Saint Helena
110,Banyule,Diamond Creek
111,Nillumbik,Diamond Creek
112,Banyule,Lower Plenty
113,Manningham,Lower Plenty
114,Nillumbik,Lower Plenty
115,Banyule,Montmorency
116,Nillumbik,Montmorency
117,Banyule,Eltham
118,Banyule,Eltham North
119,Banyule,Research
120,Manningham,Eltham
121,Manningham,Eltham North
122,Manningham,Research
123,Nillumbik,Eltham
124,Nillumbik,Eltham North
125,Nillumbik,Research
126,Banyule,Kew East
127,Boroondara,Kew East
128,Yarra,Kew East
129,Banyule,Balwyn North
130,Banyule,Greythorn
131,Boroondara,Balwyn North
132,Boroondara,Greythorn
133,Manningham,Balwyn North
134,Manningham,Greythorn
135,Whitehorse,Balwyn North
136,Whitehorse,Greythorn
137,Banyule,Bulleen
