burbs,Median
Albert Park-Middle Park-West St Kilda,$531
Armadale,$440
Carlton North,$550
Carlton-Parkville,$395
CBD-St Kilda Rd,$480
Collingwood-Abbotsford,$450
Docklands,$510
East Melbourne,$495
East St Kilda,$400
Elwood,$420
Fitzroy,$530
Fitzroy North-Clifton Hill,$520
Flemington-Kensington,$415
North Melbourne-West Melbourne,$420
Port Melbourne,$570
Prahran-Windsor,$410
Richmond-Burnley,$500
South Melbourne,$510
South Yarra,$450
Southbank,$540
St Kilda,$401
Toorak,$475
Balwyn,$500
Blackburn,$410
Box Hill,$400
Bulleen-Templestowe-Doncaster,$450
Burwood-Ashburton,$435
Camberwell-Glen Iris,$450
Canterbury-Surrey Hills-Mont Albert,$475
Chadstone-Oakleigh,$430
Clayton,$380
Doncaster East-Donvale,$468
East Hawthorn,$420
Glen Waverley-Mulgrave,$460
Hawthorn,$380
Kew,$490
Mount Waverley,$465
Nunawading-Mitcham,$395
Vermont-Forest Hill-Burwood East,$420
Aspendale-Chelsea-Carrum,$400
Bentleigh,$460
Brighton,$595
Brighton East,$655
Carnegie,$400
Caulfield,$440
Cheltenham,$440
Elsternwick,$420
Hampton-Beaumaris,$525
Malvern,$460
Malvern East,$410
Mentone-Parkdale-Mordialloc,$400
Murrumbeena-Hughesdale,$400
Altona,$380
Footscray,$360
Keilor East-Avondale Heights,$395
Melton,$310
Newport-Spotswood,$460
St Albans-Deer Park,$330
Sunshine,$330
Sydenham,$380
Werribee-Hoppers Crossing,$340
West Footscray,$360
Williamstown,$490
Yarraville-Seddon,$450
Broadmeadows-Roxburgh Park,$345
Brunswick,$440
Coburg-Pascoe Vale South,$418
Craigieburn,$350
East Brunswick,$420
Essendon,$390
Gladstone Park-Tullamarine,$360
Keilor,$400
Moonee Ponds-Ascot Vale,$410
Oak Park-Glenroy-Fawkner,$360
Pascoe Vale-Coburg North,$390
Sunbury,$340
West Brunswick,$350
Bundoora-Greensborough-Hurstbridge,$370
Eltham-Research-Montmorency,$418
Fairfield-Alphington,$375
Heidelberg-Heidelberg West,$390
Ivanhoe-Ivanhoe East,$450
Mill Park-Epping,$350
Northcote,$460
Preston,$395
Reservoir,$350
Thomastown-Lalor,$340
Thornbury,$370
Whittlesea,$350
Bayswater,$360
Boronia,$360
Croydon-Lilydale,$380
Ferntree Gully,$380
Ringwood,$380
Rowville,$440
Wantirna-Scoresby,$420
Yarra Ranges,$370
Berwick,$390
Cranbourne,$370
Dandenong,$330
Dandenong North-Endeavour Hills,$340
Narre Warren-Hampton Park,$360
Noble Park,$330
Pakenham,$340
Springvale,$365
Dromana-Portsea,$355
Frankston,$340
Hastings-Flinders,$350
Mt Eliza-Mornington-Mt Martha,$450
Seaford-Carrum Downs,$350
Belmont-Grovedale,$350
Corio,$255
Geelong-Newcombe,$315
Herne Hill-Geelong West,$320
Lara,$350
Newtown,$350
North Geelong,$320
Ballarat,$275
Mount Clear-Buninyong,$310
Sebastopol-Delacombe,$255
Wendouree-Alfredton,$295
Bendigo,$275
Flora Hill-Bendigo East,$280
Golden Square-Kangaroo Flat,$280
North Bendigo,$283
Bairnsdale,$280
Benalla,$240
Castlemaine,$310
Echuca,$300
Hamilton,$230
Horsham,$260
Mildura,$280
Moe-Newborough,$208
Morwell,$200
Ocean Grove-Barwon Heads,$380
Portland,$230
Sale-Maffra,$268
Seymour,$250
Shepparton,$270
Swan Hill,$245
Torquay,$460
Traralgon,$275
Wanagaratta,$265
Warragul,$300
Warrnambool,$290
Wodonga,$300
Group Total,$277
