,suburb,median_rent,Count
1,Aberfeldie,495.0,
2,Airport West,442.5,
3,Albanvale,375.0,
5,Albion,442.5,
8,Altona East,451.25,
9,Altona Gate,451.25,
10,Altona Meadows,451.25,
11,Altona North,451.25,
12,Ardeer,390.0,
14,Armadale North,737.5,
15,Arthurs Creek,410.0,
16,Arthurs Seat,392.5,
19,Ashwood,650.0,
21,Aspendale Gardens,440.0,
22,Attwood,390.0,
23,Auburn,693.75,
24,Auburn South,737.5,
26,Avonsleigh,385.0,
27,Balaclava,737.5,
28,Balnarring,392.5,
29,Balnarring Beach,392.5,
31,Balwyn East,555.0,
32,Balwyn North,462.5,
33,Bangholme,417.5,
34,Banyule,462.5,
35,Batman,527.75,
36,Baxter,370.0,
38,Bayswater North,420.0,
39,Beaconsfield,370.0,
40,Beaconsfield Upper,370.0,
42,Bedford Road,420.0,
43,Beenak,385.0,
44,Belgrave,385.0,
45,Belgrave Heights,385.0,
46,Belgrave South,385.0,
47,Bellfield,512.75,
48,Belvedere Park,417.5,
49,Bend Of Islands,447.5,
50,Bend of Islands,435.0,
51,Bennettswood,460.0,
53,Bentleigh East,465.0,
55,Big Pats Creek,405.0,
56,Bittern,392.5,
57,Black Rock,588.75,
58,Black Rock North,588.75,
60,Blackburn North,460.0,
61,Blackburn South,460.0,
62,Blairgowrie,392.5,
63,Blind Bight,370.0,
64,Bonbeach,440.0,
65,Boneo,392.5,
67,Botanic Ridge,370.0,
69,Box Hill Central,460.0,
70,Box Hill North,460.0,
71,Box Hill South,460.0,
72,Braeside,440.0,
73,Braybrook,495.0,
74,Braybrook North,495.0,
75,Brentford Square,460.0,
76,Briar Hill,435.0,
79,Brighton North,712.5,
80,Brighton Road,712.5,
82,Brookfield,366.25,
83,Brooklyn,495.0,
85,Brunswick East,560.5,
86,Brunswick Lower,750.0,
87,Brunswick North,750.0,
88,Brunswick South,495.0,
89,Brunswick West,495.0,
90,Bulla,390.0,
93,Bunyip,370.0,
94,Bunyip North,370.0,
96,Burnley North,743.75,
97,Burnside,375.0,
98,Burnside Heights,375.0,
101,Burwood Heights,460.0,
102,Cairnlea,375.0,
103,Calder Park,390.0,
105,Camberwell East,650.0,
106,Camberwell North,555.0,
107,Camberwell South,555.0,
108,Camberwell West,555.0,
109,Campbellfield,390.0,
110,Cannons Creek,370.0,
112,Cape Schanck,392.5,
113,Capel Sound,392.5,
114,Cardinia,370.0,
117,Carlton South,760.0,
119,Caroline Springs,375.0,
123,Caulfield East,660.0,
124,Caulfield Junction,737.5,
125,Caulfield North,737.5,
126,Caulfield South,691.25,
127,Central Park,660.0,
129,Chadstone Centre,598.75,
130,Chapel Street North,760.0,
132,Chelsea Heights,440.0,
134,Cheltenham East,588.75,
135,Cheltenham North,588.75,
136,Chirnside Park,427.5,
137,Christmas Hills,422.5,
138,Clarinda,460.0,
140,Clayton South,460.0,
141,Clematis,385.0,
143,Clyde,370.0,
144,Clyde North,370.0,
145,Coatesville,465.0,
148,Cockatoo,385.0,
149,Cocoroc,372.5,
150,Coldstream,417.5,
152,Collingwood North,760.0,
153,Coolaroo,390.0,
154,Cora Lynn,370.0,
155,Cotham,700.0,
156,Cottles Bridge,410.0,
159,Cranbourne East,370.0,
160,Cranbourne North,370.0,
161,Cranbourne South,370.0,
162,Cranbourne West,370.0,
163,Cremorne,743.75,
164,Crib Point,392.5,
165,Cromer,588.75,
167,Croydon Hills,420.0,
168,Croydon North,420.0,
169,Croydon South,420.0,
170,Dallas,442.5,
172,Dandenong East,417.5,
174,Dandenong South,417.5,
175,Darling,660.0,
176,Deepdene,650.0,
178,Deer Park East,390.0,
179,Deer Park North,375.0,
180,Delahey,390.0,
181,Dendy,712.5,
182,Derrimut,372.5,
183,Devon Meadows,370.0,
184,Dewhurst,370.0,
185,Diamond Creek,450.0,
186,Diggers Rest,380.0,
187,Dingley Village,440.0,
188,Dixons Creek,422.5,
189,Docklands,770.0,
190,Don Valley,385.0,
193,Doncaster Heights,460.0,
194,Donnybrook,377.5,
196,Doreen,407.5,
197,Doveton,392.5,
199,Dunearn,417.5,
200,Eaglemont,462.5,
201,East Melbourne,760.0,
202,East Warburton,405.0,
203,Edithvale,440.0,
206,Eltham North,460.0,
208,Emerald,385.0,
212,Essendon Fields,495.0,
213,Essendon North,495.0,
214,Essendon West,495.0,
215,Eumemmerring,392.5,
216,Exford,366.25,
217,Eynesbury,366.25,
220,Fawkner East,495.0,
221,Fawkner North,495.0,
223,Ferny Creek,410.0,
224,Fingal,392.5,
231,Fountain Gate,370.0,
233,Frankston East,381.25,
234,Frankston Heights,381.25,
235,Frankston North,370.0,
236,Frankston South,381.25,
237,Garden City,770.0,
238,Gardenvale,712.5,
239,Garfield,370.0,
240,Garfield North,370.0,
241,Gembrook,385.0,
242,Gilderoy,385.0,
244,Gladysdale,385.0,
245,Glen Huntly,670.0,
248,Glengala,442.5,
250,Gowanbrae,442.5,
252,Greenvale,390.0,
253,Greythorn,462.5,
254,Gruyere,417.5,
255,Guys Hill,370.0,
256,Hadfield,495.0,
257,Hallam,392.5,
259,Hampton East,588.75,
260,Hampton North,588.75,
262,Harkaway,370.0,
263,Hartwell,555.0,
265,Hawksburn,737.5,
267,Hawthorn East,693.75,
268,Hawthorn North,737.5,
269,Hawthorn West,737.5,
270,Heatherton,465.0,
271,Heathmont,420.0,
273,Heidelberg Heights,512.75,
275,Highett,588.75,
276,Highpoint City,522.5,
277,Hillside,390.0,
278,Hoddles Creek,385.0,
279,Holmesglen,598.75,
280,Hopetoun Gardens,691.25,
282,Houston,460.0,
284,Huntingdale,670.0,
286,Iona,370.0,
289,Ivanhoe North,560.5,
290,Jacana,442.5,
291,Junction Village,370.0,
292,Kalkallo,377.5,
293,Kallista,385.0,
294,Kalorama,400.0,
295,Kangaroo Ground,447.5,
296,Karingal,381.25,
297,Karingal Centre,381.25,
298,Kealba,375.0,
300,Keilor Downs,390.0,
302,Keilor Lodge,390.0,
303,Keilor North,390.0,
304,Keilor Park,442.5,
306,Keon Park,480.0,
307,Kerrimuir,460.0,
309,Kew East,650.0,
310,Keysborough,440.0,
311,Kilsyth,420.0,
312,Kilsyth South,420.0,
313,Kings Park,375.0,
314,Kingsbury,450.0,
315,Kingsville,495.0,
316,Kingsville West,495.0,
317,Knox City Centre,440.0,
318,Knoxfield,420.0,
319,Kooyong,670.0,
320,Kunyung,381.25,
321,La Trobe University,450.0,
322,Laburnum,460.0,
324,Lalor Plaza,385.0,
325,Langwarrin,370.0,
326,Langwarrin South,370.0,
327,Launching Place,385.0,
328,Laverton,451.25,
329,Laverton North,390.0,
330,Laverton Raaf,451.25,
332,Little River,363.75,
333,Lower Plenty,460.0,
334,Lynbrook,392.5,
335,Lyndhurst,392.5,
336,Lysterfield,400.0,
337,Lysterfield South,400.0,
338,Macclesfield,385.0,
339,Macleod,512.75,
340,Macleod West,512.75,
341,Maidstone,495.0,
342,Main Ridge,392.5,
345,Malvern North,670.0,
346,Mambourin,366.25,
347,Manor Lakes,372.5,
348,Maribyrnong,522.5,
349,Maryknoll,370.0,
350,McCrae,392.5,
351,Mccrae,392.5,
352,McKinnon,670.0,
353,Mcmahons Creek,405.0,
354,Meadow Heights,390.0,
355,Melbourne,760.0,
356,Melbourne Airport,390.0,
