,suburb,median_price,p_type
0,Abbotsford,1030000,house
0,Abbotsford,517500,unit
1,Aberfeldie,1390000,house
1,Aberfeldie,950000,unit
2,Aintree,610000,house
3,Aireys Inlet,985000,house
4,Airport West,790000,house
2,Airport West,608000,unit
5,Albanvale,512000,house
6,Albert Park,1965000,house
3,Albert Park,915000,unit
7,Albion,675000,house
4,Albion,261000,unit
8,Alexandra,325500,house
9,Alfredton,480000,house
5,Alfredton,277000,unit
10,Allansford,300000,house
11,Alphington,1570000,house
6,Alphington,713500,unit
12,Altona,882500,house
7,Altona,625000,unit
13,Altona East,842500,house
8,Altona East,630000,unit
0,Altona Gate,738750,house
1,Altona Gate,530000,unit
14,Altona Meadows,617500,house
9,Altona Meadows,472500,unit
15,Altona North,788500,house
10,Altona North,630000,unit
16,Anglesea,905000,house
11,Anglesea,755000,unit
17,Apollo Bay,597500,house
12,Apollo Bay,534000,unit
18,Ararat,216500,house
13,Ararat,207000,unit
19,Ardeer,571500,house
14,Ardeer,531000,unit
20,Armadale,2462500,house
15,Armadale,634000,unit
2,Armadale North,1467500,house
3,Armadale North,606750,unit
21,Armstrong Creek,540000,house
4,Arthurs Creek,594750,house
5,Arthurs Creek,425000,unit
6,Arthurs Seat,797500,house
7,Arthurs Seat,540000,unit
22,Ascot (Greater Bendigo),415500,house
23,Ascot Vale,1088500,house
16,Ascot Vale,516000,unit
24,Ashburton,1651000,house
17,Ashburton,1144500,unit
25,Ashwood,1100000,house
18,Ashwood,875000,unit
26,Aspendale,994000,house
19,Aspendale,690500,unit
27,Aspendale Gardens,844000,house
28,Attwood,767500,house
8,Auburn,1530000,house
9,Auburn,668875,unit
10,Auburn South,1385000,house
11,Auburn South,606750,unit
29,Avenel,370000,house
30,Avoca,219500,house
31,Avondale Heights,810000,house
20,Avondale Heights,628000,unit
32,Avonsleigh,532500,house
33,Bacchus Marsh,500000,house
21,Bacchus Marsh,393000,unit
34,Badger Creek,498000,house
35,Bairnsdale,274000,house
22,Bairnsdale,215000,unit
36,Balaclava,1310000,house
23,Balaclava,565000,unit
37,Balcombe,1109000,house
38,Ballan,450000,house
24,Ballan,337000,unit
39,Ballarat Central,520000,house
25,Ballarat Central,270000,unit
40,Ballarat East,360000,house
26,Ballarat East,299500,unit
41,Ballarat North,413500,house
27,Ballarat North,275000,unit
42,Balnarring,825000,house
43,Balnarring Beach,1275000,house
44,Balwyn,2392500,house
28,Balwyn,875000,unit
12,Balwyn East,1422875,house
13,Balwyn East,735500,unit
45,Balwyn North,1700000,house
29,Balwyn North,1010000,unit
14,Bangholme,773250,house
15,Bangholme,543750,unit
46,Bannockburn,529000,house
16,Banyule,967500,house
17,Banyule,655375,unit
47,Baranduda,395000,house
48,Barnawartha,316000,house
49,Barwon Heads,1007500,house
