,LGA,year,median_rent,ptype,idx,base_map,price,yield,area
0,Inner Melbourne,2009,380.0,U,1.0,T,460000,0.043,Inner Melbourne Units
1,Inner Melbourne,2010,390.0,U,1.0989130434782608,T,505500,0.04,Inner Melbourne Units
2,Inner Melbourne,2011,410.0,U,1.1,T,506000,0.042,Inner Melbourne Units
3,Inner Melbourne,2012,421.0,U,1.0978260869565217,T,505000,0.043,Inner Melbourne Units
4,Inner Melbourne,2013,430.0,U,1.1217391304347826,T,516000,0.043,Inner Melbourne Units
5,Inner Melbourne,2014,440.0,U,1.190217391304348,T,547500,0.042,Inner Melbourne Units
6,Inner Melbourne,2015,450.0,U,1.2173913043478262,T,560000,0.042,Inner Melbourne Units
7,Inner Melbourne,2016,450.0,U,1.2782608695652173,T,588000,0.04,Inner Melbourne Units
8,Inner Melbourne,2017,475.0,U,1.2695652173913043,T,584000,0.042,Inner Melbourne Units
9,Inner Melbourne,2018,500.0,U,1.2793478260869566,T,588500,0.044,Inner Melbourne Units
10,Inner Melbourne,2019,500.0,U,1.2847826086956522,T,591000,0.044,Inner Melbourne Units
11,Metropolitan Melbourne,2009,300.0,U,1.0,T,413000,0.038,Metropolitan Melbourne Units
12,Metropolitan Melbourne,2010,320.0,U,1.1598062953995156,T,479000,0.035,Metropolitan Melbourne Units
13,Metropolitan Melbourne,2011,330.0,U,1.1331719128329298,T,468000,0.037,Metropolitan Melbourne Units
14,Metropolitan Melbourne,2012,340.0,U,1.0774818401937045,T,445000,0.04,Metropolitan Melbourne Units
15,Metropolitan Melbourne,2013,340.0,U,1.165859564164649,T,481500,0.037,Metropolitan Melbourne Units
16,Metropolitan Melbourne,2014,350.0,U,1.1864406779661016,T,490000,0.037,Metropolitan Melbourne Units
17,Metropolitan Melbourne,2015,359.0,U,1.3038740920096852,T,538500,0.035,Metropolitan Melbourne Units
18,Metropolitan Melbourne,2016,370.0,U,1.360774818401937,T,562000,0.034,Metropolitan Melbourne Units
19,Metropolitan Melbourne,2017,390.0,U,1.4552058111380146,T,601000,0.034,Metropolitan Melbourne Units
20,Metropolitan Melbourne,2018,400.0,U,1.5012106537530265,T,620000,0.034,Metropolitan Melbourne Units
21,Metropolitan Melbourne,2019,420.0,U,1.5060532687651331,T,622000,0.035,Metropolitan Melbourne Units
22,Outer Metropolitan,2009,250.0,U,1.0,T,305000,0.043,Outer Metropolitan Units
23,Outer Metropolitan,2010,270.0,U,1.137704918032787,T,347000,0.04,Outer Metropolitan Units
24,Outer Metropolitan,2011,280.0,U,1.1311475409836065,T,345000,0.042,Outer Metropolitan Units
25,Outer Metropolitan,2012,290.0,U,1.1147540983606556,T,340000,0.044,Outer Metropolitan Units
26,Outer Metropolitan,2013,295.0,U,1.1147540983606556,T,340000,0.045,Outer Metropolitan Units
27,Outer Metropolitan,2014,300.0,U,1.1655737704918032,T,355500,0.044,Outer Metropolitan Units
28,Outer Metropolitan,2015,305.0,U,1.2540983606557377,T,382500,0.041,Outer Metropolitan Units
29,Outer Metropolitan,2016,311.0,U,1.3114754098360655,T,400000,0.04,Outer Metropolitan Units
30,Outer Metropolitan,2017,330.0,U,1.4918032786885247,T,455000,0.038,Outer Metropolitan Units
31,Outer Metropolitan,2018,340.0,U,1.5573770491803278,T,475000,0.037,Outer Metropolitan Units
32,Outer Metropolitan,2019,350.0,U,1.5459016393442624,T,471500,0.039,Outer Metropolitan Units
33,Inner Melbourne,2009,545.0,H,1.0,T,795000,0.036,Inner Melbourne Houses
34,Inner Melbourne,2010,575.0,H,1.1540880503144655,T,917500,0.033,Inner Melbourne Houses
35,Inner Melbourne,2011,620.0,H,1.1069182389937107,T,880000,0.037,Inner Melbourne Houses
36,Inner Melbourne,2012,650.0,H,1.0918238993710692,T,868000,0.039,Inner Melbourne Houses
37,Inner Melbourne,2013,662.5,H,1.2081761006289309,T,960500,0.036,Inner Melbourne Houses
38,Inner Melbourne,2014,670.0,H,1.3270440251572326,T,1055000,0.033,Inner Melbourne Houses
39,Inner Melbourne,2015,695.0,H,1.4842767295597483,T,1180000,0.031,Inner Melbourne Houses
40,Inner Melbourne,2016,700.0,H,1.7106918238993711,T,1360000,0.027,Inner Melbourne Houses
41,Inner Melbourne,2017,720.0,H,1.8836477987421383,T,1497500,0.025,Inner Melbourne Houses
42,Inner Melbourne,2018,766.5,H,1.849056603773585,T,1470000,0.027,Inner Melbourne Houses
43,Inner Melbourne,2019,775.0,H,1.729559748427673,T,1375000,0.029,Inner Melbourne Houses
44,Metropolitan Melbourne,2009,370.0,H,1.0,T,590000,0.033,Metropolitan Melbourne Houses
45,Metropolitan Melbourne,2010,382.5,H,1.1508474576271186,T,679000,0.029,Metropolitan Melbourne Houses
46,Metropolitan Melbourne,2011,397.5,H,1.1161016949152542,T,658500,0.031,Metropolitan Melbourne Houses
47,Metropolitan Melbourne,2012,410.0,H,1.1033898305084746,T,651000,0.033,Metropolitan Melbourne Houses
48,Metropolitan Melbourne,2013,420.0,H,1.1864406779661016,T,700000,0.031,Metropolitan Melbourne Houses
49,Metropolitan Melbourne,2014,430.0,H,1.3245762711864406,T,781500,0.029,Metropolitan Melbourne Houses
50,Metropolitan Melbourne,2015,440.0,H,1.5008474576271187,T,885500,0.026,Metropolitan Melbourne Houses
51,Metropolitan Melbourne,2016,460.0,H,1.652542372881356,T,975000,0.025,Metropolitan Melbourne Houses
52,Metropolitan Melbourne,2017,465.0,H,1.9411016949152542,T,1145250,0.021,Metropolitan Melbourne Houses
53,Metropolitan Melbourne,2018,500.0,H,1.8411016949152543,T,1086250,0.024,Metropolitan Melbourne Houses
54,Metropolitan Melbourne,2019,510.0,H,1.7457627118644068,T,1030000,0.026,Metropolitan Melbourne Houses
55,Outer Metropolitan,2009,295.0,H,1.0,T,370000,0.041,Outer Metropolitan Houses
56,Outer Metropolitan,2010,310.0,H,1.162162162162162,T,430000,0.037,Outer Metropolitan Houses
57,Outer Metropolitan,2011,325.0,H,1.1472972972972972,T,424500,0.04,Outer Metropolitan Houses
