,Suburb,Median
0,Abbotsford,430.0
1,Aberfeldie,405.0
2,Airport West,405.0
3,Albanvale,381.42857142857144
4,Albert Park,500.0
5,Albion,381.42857142857144
6,Alphington,400.0
7,Altona,400.0
8,Altona Meadows,470.0
9,Altona North,470.0
10,Ardeer,381.42857142857144
11,Armadale,440.0
12,Ascot Vale,405.0
13,Ashburton,450.0
14,Ashwood,446.25
15,Aspendale,450.0
16,Aspendale Gardens,440.0
17,Attwood,380.3333333333333
18,Avondale Heights,410.0
19,Balaclava,442.5
20,Balwyn,525.0
21,Balwyn North,468.8888888888889
22,Bayswater,400.0
23,Bayswater North,427.5
24,Beaumaris,590.0
25,Bellfield,438.25
26,Bentleigh,485.0
27,Bentleigh East,428.8
28,Berwick,405.0
29,Black Rock,598.6
30,Blackburn,420.0
31,Blackburn North,428.0
32,Blackburn South,428.0
33,Bonbeach,440.0
34,Boronia,395.0
35,Botanic Ridge,389.0
36,Box Hill,400.0
37,Braybrook,428.75
38,Briar Hill,438.25
39,Brighton,653.0
40,Brighton East,700.0
41,Broadmeadows,366.0
42,Brookfield,350.0
43,Brooklyn,381.42857142857144
44,Brunswick,425.0
45,Brunswick East,429.0
46,Brunswick West,429.0
47,Bulla,380.3333333333333
48,Bulleen,480.0
49,Bundoora,410.0
50,Burnley,470.0
51,Burnside,350.0
52,Burnside Heights,350.0
53,Burwood,450.0
54,Burwood East,450.0
55,Cairnlea,381.42857142857144
56,Camberwell,450.0
57,Campbellfield,380.3333333333333
58,Canterbury,495.0
59,Carlton,340.0
60,Carlton North,580.0
61,Carnegie,400.0
62,Caroline Springs,350.0
63,Carrum,450.0
64,Carrum Downs,390.0
65,Caulfield,410.0
66,Caulfield East,428.8
67,Caulfield North,428.8
68,Caulfield South,428.8
69,Chadstone,430.0
70,Chelsea,450.0
71,Chelsea Heights,440.0
72,Cheltenham,460.0
73,Clarinda,440.0
74,Clayton,400.0
75,Clayton South,440.0
76,Clifton Hill,530.0
77,Clyde North,389.0
78,Coburg,450.0
79,Coburg North,410.0
80,Collingwood,430.0
81,Coolaroo,380.3333333333333
82,Craigieburn,390.0
83,Cranbourne,400.0
84,Cranbourne East,389.0
85,Cranbourne North,389.0
86,Cranbourne West,389.0
87,Cremorne,478.3333333333333
88,Croydon,425.0
89,Croydon,425.0
90,Croydon Hills,427.5
91,Croydon North,427.5
92,Croydon South,427.5
93,Dallas,380.3333333333333
94,Dandenong,350.0
95,Dandenong North,360.0
96,Deepdene,468.8888888888889
97,Deer Park,350.0
98,Delahey,381.42857142857144
99,Derrimut,381.42857142857144
100,Diggers Rest,380.3333333333333
101,Dingley Village,440.0
102,Docklands,400.0
103,Doncaster,480.0
104,Doncaster East,480.0
105,Donvale,480.0
106,Doveton,389.0
107,Eaglemont,438.25
108,East Melbourne,450.0
109,Edithvale,440.0
110,Elsternwick,449.0
111,Eltham,460.0
112,Eltham North,438.25
113,Elwood,425.0
114,Endeavour Hills,360.0
115,Epping,380.0
116,Essendon,400.0
117,Essendon North,405.0
118,Essendon West,405.0
119,Eumemmerring,389.0
120,Eynesbury,350.0
121,Fairfield,400.0
122,Fawkner,390.0
123,Ferntree Gully,420.0
124,Fitzroy,540.0
125,Fitzroy North,530.0
126,Flemington,400.0
127,Footscray,360.0
128,Forest Hill,450.0
129,Frankston,380.0
130,Frankston North,386.6666666666667
131,Frankston South,386.6666666666667
132,Gardenvale,428.8
133,Gladstone Park,390.0
134,Glen Huntly,428.8
135,Glen Iris,450.0
136,Glen Waverley,480.0
