,suburb,median_price,p_type,const,LGA
0,Abbotsford,517500.0,unit,1.0,
1,Aberfeldie,950000.0,unit,1.0,
2,Airport West,608000.0,unit,1.0,
238,Albanvale,,unit,,Brimbank
241,Albanvale,,unit,,Melton
3,Albert Park,915000.0,unit,1.0,
4,Albion,261000.0,unit,1.0,
6,Alphington,713500.0,unit,1.0,
7,Altona,625000.0,unit,1.0,
8,Altona East,630000.0,unit,1.0,
528,Altona Gate,,unit,,Hobsons Bay
529,Altona Gate,,unit,,Wyndham
9,Altona Meadows,472500.0,unit,1.0,
10,Altona North,630000.0,unit,1.0,
14,Ardeer,531000.0,unit,1.0,
15,Armadale,634000.0,unit,1.0,
498,Armadale North,,unit,,Glen Eira
499,Armadale North,,unit,,Port Phillip
500,Armadale North,,unit,,Stonnington
736,Arthurs Creek,,unit,,Murrindindi
741,Arthurs Creek,,unit,,Nillumbik
746,Arthurs Creek,,unit,,Whittlesea
725,Arthurs Seat,,unit,,Mornington Peninsula
16,Ascot Vale,516000.0,unit,1.0,
17,Ashburton,1144500.0,unit,1.0,
18,Ashwood,875000.0,unit,1.0,
19,Aspendale,690500.0,unit,1.0,
515,Aspendale Gardens,,unit,,Greater Dandenong
518,Aspendale Gardens,,unit,,Kingston
538,Attwood,,unit,,Hume
177,Auburn,,unit,,Boroondara
178,Auburn,,unit,,Stonnington
168,Auburn South,,unit,,Boroondara
171,Auburn South,,unit,,Stonnington
174,Auburn South,,unit,,Yarra
20,Avondale Heights,628000.0,unit,1.0,
356,Avonsleigh,,unit,,Cardinia
360,Avonsleigh,,unit,,Yarra Ranges
23,Balaclava,565000.0,unit,1.0,
717,Balnarring,,unit,,Mornington Peninsula
718,Balnarring Beach,,unit,,Mornington Peninsula
28,Balwyn,875000.0,unit,1.0,
146,Balwyn East,,unit,,Boroondara
147,Balwyn East,,unit,,Whitehorse
29,Balwyn North,1010000.0,unit,1.0,
433,Bangholme,,unit,,Casey
437,Bangholme,,unit,,Frankston
441,Bangholme,,unit,,Greater Dandenong
445,Bangholme,,unit,,Kingston
449,Bangholme,,unit,,Knox
453,Bangholme,,unit,,Monash
39,Banyule,,unit,,Banyule
40,Banyule,,unit,,Manningham
470,Batman,,unit,,Darebin
473,Batman,,unit,,Moreland
459,Baxter,,unit,,Casey
461,Baxter,,unit,,Frankston
463,Baxter,,unit,,Mornington Peninsula
31,Bayswater,581000.0,unit,1.0,
32,Bayswater North,480000.0,unit,1.0,
33,Beaconsfield,454000.0,unit,1.0,
379,Beaconsfield Upper,,unit,,Cardinia
381,Beaconsfield Upper,,unit,,Casey
383,Beaconsfield Upper,,unit,,Yarra Ranges
34,Beaumaris,887500.0,unit,1.0,
573,Bedford Road,,unit,,Knox
574,Bedford Road,,unit,,Maroondah
318,Beenak,,unit,,Cardinia
328,Beenak,,unit,,Yarra Ranges
342,Belgrave,,unit,,Cardinia
346,Belgrave,,unit,,Yarra Ranges
343,Belgrave Heights,,unit,,Cardinia
347,Belgrave Heights,,unit,,Yarra Ranges
344,Belgrave South,,unit,,Cardinia
348,Belgrave South,,unit,,Yarra Ranges
33,Bellfield,,unit,,Banyule
34,Bellfield,,unit,,Darebin
485,Belvedere Park,,unit,,Frankston
486,Belvedere Park,,unit,,Kingston
596,Bend Of Islands,,unit,,Manningham
599,Bend Of Islands,,unit,,Nillumbik
778,Bend of Islands,,unit,,Nillumbik
189,Bennettswood,,unit,,Boroondara
191,Bennettswood,,unit,,Monash
193,Bennettswood,,unit,,Whitehorse
40,Bentleigh,655000.0,unit,1.0,
41,Bentleigh East,746000.0,unit,1.0,
42,Berwick,522500.0,unit,1.0,
76,Big Pats Creek,,unit,,Baw Baw
83,Big Pats Creek,,unit,,Mansfield
90,Big Pats Creek,,unit,,Murrindindi
97,Big Pats Creek,,unit,,Yarra Ranges
43,Bittern,471500.0,unit,1.0,
45,Black Rock,950000.0,unit,1.0,
133,Black Rock North,,unit,,Bayside
135,Black Rock North,,unit,,Kingston
46,Blackburn,685500.0,unit,1.0,
47,Blackburn North,760500.0,unit,1.0,
48,Blackburn South,760000.0,unit,1.0,
734,Blairgowrie,,unit,,Mornington Peninsula
