,suburb,median_rent,Count
1,Aberfeldie,400.0,
2,Airport West,373.25,
3,Albanvale,331.5,
5,Albion,369.0,
8,Altona East,354.0,
9,Altona Gate,354.0,
10,Altona Meadows,354.0,
11,Altona North,354.0,
12,Ardeer,343.0,
14,Armadale North,480.0,
15,Arthurs Creek,370.0,
16,Arthurs Seat,325.0,
19,Ashwood,450.0,
21,Aspendale Gardens,372.5,
22,Attwood,346.5,
23,Auburn,465.0,
24,Auburn South,480.0,
26,Avonsleigh,335.0,
27,Balaclava,480.0,
28,Balnarring,325.0,
29,Balnarring Beach,325.0,
31,Balwyn East,440.0,
32,Balwyn North,417.5,
33,Bangholme,367.5,
34,Banyule,402.5,
35,Batman,402.5,
36,Baxter,325.0,
38,Bayswater North,370.0,
39,Beaconsfield,320.0,
40,Beaconsfield Upper,330.0,
42,Bedford Road,375.0,
43,Beenak,335.0,
44,Belgrave,335.0,
45,Belgrave Heights,335.0,
46,Belgrave South,335.0,
47,Bellfield,402.5,
48,Belvedere Park,352.5,
49,Bend Of Islands,390.0,
50,Bend of Islands,375.0,
51,Bennettswood,430.0,
53,Bentleigh East,420.0,
55,Big Pats Creek,365.0,
56,Bittern,325.0,
57,Black Rock,421.25,
58,Black Rock North,421.25,
60,Blackburn North,417.5,
61,Blackburn South,417.5,
62,Blairgowrie,325.0,
63,Blind Bight,320.0,
64,Bonbeach,372.5,
65,Boneo,325.0,
67,Botanic Ridge,330.0,
69,Box Hill Central,430.0,
70,Box Hill North,430.0,
71,Box Hill South,430.0,
72,Braeside,372.5,
73,Braybrook,395.0,
74,Braybrook North,395.0,
75,Brentford Square,417.5,
76,Briar Hill,375.0,
79,Brighton North,462.5,
80,Brighton Road,462.5,
82,Brookfield,325.0,
83,Brooklyn,378.0,
85,Brunswick East,405.0,
86,Brunswick Lower,510.0,
87,Brunswick North,510.0,
88,Brunswick South,402.5,
89,Brunswick West,402.5,
90,Bulla,344.75,
93,Bunyip,310.0,
94,Bunyip North,310.0,
96,Burnley North,495.0,
97,Burnside,331.5,
98,Burnside Heights,331.5,
101,Burwood Heights,425.0,
102,Cairnlea,331.5,
103,Calder Park,346.5,
105,Camberwell East,450.0,
106,Camberwell North,440.0,
107,Camberwell South,440.0,
108,Camberwell West,440.0,
109,Campbellfield,346.5,
110,Cannons Creek,327.5,
112,Cape Schanck,325.0,
113,Capel Sound,325.0,
114,Cardinia,320.0,
117,Carlton South,515.0,
119,Caroline Springs,331.5,
123,Caulfield East,455.0,
124,Caulfield Junction,480.0,
125,Caulfield North,480.0,
126,Caulfield South,461.25,
127,Central Park,455.0,
129,Chadstone Centre,450.0,
130,Chapel Street North,505.0,
132,Chelsea Heights,372.5,
134,Cheltenham East,421.25,
135,Cheltenham North,421.25,
136,Chirnside Park,377.5,
137,Christmas Hills,372.5,
138,Clarinda,380.0,
140,Clayton South,380.0,
141,Clematis,335.0,
143,Clyde,320.0,
144,Clyde North,320.0,
145,Coatesville,420.0,
148,Cockatoo,335.0,
149,Cocoroc,330.0,
150,Coldstream,367.5,
152,Collingwood North,515.0,
153,Coolaroo,346.5,
154,Cora Lynn,310.0,
155,Cotham,480.0,
156,Cottles Bridge,370.0,
159,Cranbourne East,327.5,
160,Cranbourne North,327.5,
161,Cranbourne South,327.5,
162,Cranbourne West,327.5,
163,Cremorne,495.0,
164,Crib Point,325.0,
165,Cromer,421.25,
167,Croydon Hills,380.0,
168,Croydon North,380.0,
169,Croydon South,380.0,
170,Dallas,373.25,
172,Dandenong East,367.5,
174,Dandenong South,367.5,
175,Darling,455.0,
176,Deepdene,450.0,
178,Deer Park East,343.0,
179,Deer Park North,331.5,
180,Delahey,343.0,
181,Dendy,462.5,
182,Derrimut,330.0,
183,Devon Meadows,327.5,
184,Dewhurst,330.0,
185,Diamond Creek,387.5,
186,Diggers Rest,339.0,
187,Dingley Village,372.5,
